0.00101669	0.00101669	0.00101669	0.000125401	0.000116048
10	10.0001	10	10	10
0.000419151	0.000571319	0.000813089	0.00140698	0.00155122
1	1	1	1	1
0.919	0.919	0.919	0.919	0.919
2.376e+07	6.70488e+07	1.39674e+08	2.2376e+09	3.10298e+09
0.25231	0.439167	0.699394	1.84207	1.91406
27135.1	65213.2	147459	837731	1.08961e+06
